Countries,"Cost of living, 2017"
Bermuda,225.86
Barbados,169.9
Bahamas,158.09
USA,143.34
Canada,142.12
Uruguay,124.24
Aruba,118.56
Montserrat,112.43
Saint Lucia,110.38
Belize,105.86
Chile,105.82
Brazil,104.54
Dominica,99.61
St. Vincent & ...,95.93
Grenada,95.54
Costa Rica,94.13
Argentina,93.54
Tr.&Tobago,89.05
Peru,83.26
Ecuador,82.35
Jamaica,78.85
Guyana,78.11
Mexico,74.69
El Salvador,73.82
Panama,72.83
Haiti,70.01
Colombia,68.94
Honduras,65.87
Paraguay,65.46
Suriname,55.71
Nicaragua,54.99
Bolivia,53.79
